,user,averages_distance,variances_distance
165,z0t82mlnrczdi5pnifrk81hll,0.4,749.6478299797328
166,deepwindermusic,0.32,631.7331294850861
167,iczmxwz0sicbu4kcrho7rk1x6,0.57,1020.8888543288216
168,delicieusemusique,0.54,416.6842933896745
169,128098354,0.5,520.2232685477238
170,wtqcx4bhr0878brhugiqm5ms2,0.31,518.8904160143842
171,repatriarca,0.49,529.8250605101939
172,l9r9hmmkge8xhe8qf4pm2lpr0,0.57,496.6394548229756
173,22p3x4yhr6epnrp7aqn2mxlji,0.86,702.5848533010097
174,digitalempirerec,0.57,769.7931496963811
175,vonmogermusic,0.47,849.858344014297
176,1113561406,0.45,474.09275158984434
177,promotingsounds,0.17,230.80009377852195
178,diauajt2b4424wzaqquov5gk1,0.19,644.9073404726271
179,kpu7ttyvk94i360ju1ym63upj,0.35,431.8478768813755
180,chalkyboness,0.12,277.1176792413724
181,a1pfgmui2jrxh4zngnw51wdl9,0.75,870.2412071336176
182,e3a8zf77n5t72w84tp222eusw,0.35,435.62115927195725
183,xt2uxptv6tjx9on8kwibp7cr6,0.28,179.77538367392194
184,gotheberg,0.34,250.0689727424144
185,w7boaiq3963j3uh05r7bz1fju,0.4,401.5471357878672
186,2e0v7f11g0h10suxeh31cpajs,0.21,330.32418096895293
187,zl6lla0drktubdcszk989u8rp,0.28,280.6424536937447
188,1172220282,0.45,244.8284642243093
189,1164632070,0.32,326.39679720096166
190,ji467iqf80oosm0xwz0t43re2,0.46,388.3802732512765
191,kyumzks2dd2zh07axigcnxy0s,0.12,531.907912998183
192,1115724583,0.71,488.1400974205561
193,12176603473,0.32,313.839764851258
194,bthm8wk6oe35pberya40zlmge,0.19,74.41356186375752
195,eec9nqgd4j4h5ojvhfu6f5l9o,0.26,267.22590086240086
196,os3cfo5nma3kbzgbk6mp6an1a,0.28,160.96479200658638
197,81bq02huen5wyxq1xjx2pjbf1,0.24,220.4282339562077
198,22gdct3afm274krpud2znkwcy,0.39,378.4591417123925
199,gys7b048f0g6ikrh4gx50cnlt,0.12,56.40651058370553
200,7u2ybje621fzc0b847axac8sc,0.6,622.9483630364992
201,5w4vexyjtuzjsrrr4mtb89388,0.65,411.665527080854
202,ptf68083wtq6b14v90r1a37fp,0.31,359.97605866051833
203,4ssbwsitp2c105qcprm7e626s,0.22,105.0700393881444
204,4fxodm5om0mpmrkfy9hfc2xps,0.25,140.5562391629062
205,th6ygneeg9hqtfqowteawgzwl,0.21,90.21589597643538
206,vnzetbd8uavzyi0ffhoo0oysi,0.25,125.8408385510177
207,1c2xcsgyd1on4zoguvo3c29y4,0.13,192.17929243282987
208,11fdo9glygscn2n4hfyqy0rvo,0.17,33.689480889653524
209,yoyorda1020,0.24,189.69318177767414
210,kzn0wmd5f6by5declq4vww39f,0.23,244.75092505582109
211,5fb7jhofed6m6j0e2169aq5t7,0.38,549.0464441998935
212,kjxlawv8v4ejs1kms8zl234ry,0.22,131.96782192446958
213,lolareyes2000,0.18,249.36545462792733
214,eightyninety8090,0.25,130.8353801262596
